checked_at,trade_id,timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,current_price,outcome,pnl_points,result_reason
2026-05-04 21:14:54,2026-05-04 21:14:42|20260504_211359|ACC.NS|SHORT|1419.6|1424.7,20260504_211359|ACC.NS|SHORT|1419.6|1424.7|1409.4,2026-05-04 21:14:42,20260504_211359,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,"ACC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.88 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:54,2026-05-04 21:14:42|20260504_211359|INFY.NS|SHORT|1168.4|1174.8,20260504_211359|INFY.NS|SHORT|1168.4|1174.8|1155.6,2026-05-04 21:14:42,20260504_211359,INFY.NS,SHORT,1168.4,1174.8,1155.6,2.0,2.82,"INFY.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.82 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:54,2026-05-04 21:14:42|20260504_211359|BRITANNIA.NS|LONG|5750.0|5735.0,20260504_211359|BRITANNIA.NS|LONG|5750.0|5735.0|5780.0,2026-05-04 21:14:42,20260504_211359,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,"BRITANNIA.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.8 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:55,2026-05-04 21:14:42|20260504_211359|TATASTEEL.NS|SHORT|212.24|212.62,20260504_211359|TATASTEEL.NS|SHORT|212.24|212.62|211.48,2026-05-04 21:14:42,20260504_211359,TATASTEEL.NS,SHORT,212.24,212.62,211.48,2.0,2.78,"TATASTEEL.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.78 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:55,2026-05-04 21:14:42|20260504_211359|HDFCLIFE.NS|SHORT|589.0|589.7,20260504_211359|HDFCLIFE.NS|SHORT|589.0|589.7|587.6,2026-05-04 21:14:42,20260504_211359,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,"HDFCLIFE.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.77 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:55,2026-05-04 21:14:42|20260504_211359|TCS.NS|SHORT|2431.3|2436.7,20260504_211359|TCS.NS|SHORT|2431.3|2436.7|2420.5,2026-05-04 21:14:42,20260504_211359,TCS.NS,SHORT,2431.3,2436.7,2420.5,2.0,2.71,"TCS.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.71 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:56,2026-05-04 21:14:42|20260504_211359|M&M.NS|SHORT|3105.7|3111.5,20260504_211359|M&M.NS|SHORT|3105.7|3111.5|3094.1,2026-05-04 21:14:42,20260504_211359,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,"M&M.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.67 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:56,2026-05-04 21:14:42|20260504_211359|ABB.NS|LONG|7279.5|7264.5,20260504_211359|ABB.NS|LONG|7279.5|7264.5|7309.5,2026-05-04 21:14:42,20260504_211359,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,"ABB.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.67 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:56,2026-05-04 21:14:42|20260504_211359|TECHM.NS|LONG|1461.2|1459.2,20260504_211359|TECHM.NS|LONG|1461.2|1459.2|1465.2,2026-05-04 21:14:42,20260504_211359,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,"TECHM.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.63 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:57,2026-05-04 21:14:42|20260504_211359|HDFCAMC.NS|SHORT|2734.8|2739.2,20260504_211359|HDFCAMC.NS|SHORT|2734.8|2739.2|2726.0,2026-05-04 21:14:42,20260504_211359,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,"HDFCAMC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.62 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:57,2026-05-04 21:14:42|20260504_211359|TITAN.NS|SHORT|4368.5|4375.2,20260504_211359|TITAN.NS|SHORT|4368.5|4375.2|4355.1,2026-05-04 21:14:42,20260504_211359,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,"TITAN.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.61 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:57,2026-05-04 21:14:42|20260504_211359|BANKBARODA.NS|LONG|267.65|267.15,20260504_211359|BANKBARODA.NS|LONG|267.65|267.15|268.65,2026-05-04 21:14:42,20260504_211359,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,"BANKBARODA.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.57 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:58,2026-05-04 21:14:42|20260504_211359|INDIGO.NS|SHORT|4287.7|4292.2,20260504_211359|INDIGO.NS|SHORT|4287.7|4292.2|4278.7,2026-05-04 21:14:42,20260504_211359,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,"INDIGO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.55 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:58,2026-05-04 21:14:42|20260504_211359|SIEMENS.NS|LONG|3886.4|3874.3,20260504_211359|SIEMENS.NS|LONG|3886.4|3874.3|3910.6,2026-05-04 21:14:42,20260504_211359,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,"SIEMENS.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.53 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:58,2026-05-04 21:14:42|20260504_211359|PIIND.NS|SHORT|3059.4|3065.2,20260504_211359|PIIND.NS|SHORT|3059.4|3065.2|3047.8,2026-05-04 21:14:42,20260504_211359,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,"PIIND.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.28 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:59,2026-05-04 21:14:42|20260504_211359|TRENT.NS|SHORT|4093.3|4101.4,20260504_211359|TRENT.NS|SHORT|4093.3|4101.4|4077.1,2026-05-04 21:14:42,20260504_211359,TRENT.NS,SHORT,4093.3,4101.4,4077.1,2.0,2.21,"TRENT.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.21 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:59,2026-05-04 21:14:42|20260504_211359|BHARTIARTL.NS|SHORT|1827.1|1843.3,20260504_211359|BHARTIARTL.NS|SHORT|1827.1|1843.3|1794.7,2026-05-04 21:14:42,20260504_211359,BHARTIARTL.NS,SHORT,1827.1,1843.3,1794.7,2.0,2.19,"BHARTIARTL.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.19 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:14:59,2026-05-04 21:14:42|20260504_211359|HEROMOTOCO.NS|SHORT|5076.0|5085.0,20260504_211359|HEROMOTOCO.NS|SHORT|5076.0|5085.0|5058.0,2026-05-04 21:14:42,20260504_211359,HEROMOTOCO.NS,SHORT,5076.0,5085.0,5058.0,2.0,2.07,"HEROMOTOCO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.07 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:15:00,2026-05-04 21:14:42|20260504_211359|BAJAJ-AUTO.NS|LONG|10144.5|10120.0,20260504_211359|BAJAJ-AUTO.NS|LONG|10144.5|10120.0|10193.5,2026-05-04 21:14:42,20260504_211359,BAJAJ-AUTO.NS,LONG,10144.5,10120.0,10193.5,2.0,2.02,"BAJAJ-AUTO.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.02 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
2026-05-04 21:15:00,2026-05-04 21:14:42|20260504_211359|BAJAJHLDNG.NS|LONG|10443.0|10412.0,20260504_211359|BAJAJHLDNG.NS|LONG|10443.0|10412.0|10505.0,2026-05-04 21:14:42,20260504_211359,BAJAJHLDNG.NS,LONG,10443.0,10412.0,10505.0,2.0,1.89,"BAJAJHLDNG.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 1.89 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",,OPEN,0.0,Live price unavailable
