trade_id,opened_at,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,market_status,status,last_checked_at,last_price,pnl_points,result_reason
20260504_220458|M&M|SHORT|3106.5|3111.5|3096.5,2026-05-04 22:05:21,20260504_220458,M&M,SHORT,3106.5,3111.5,3096.5,2.0,2.67,18.67,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:37,3106.5,0.0,SHORT trade still open
20260504_220458|ABB|LONG|7279.5|7264.5|7309.5,2026-05-04 22:05:21,20260504_220458,ABB,LONG,7279.5,7264.5,7309.5,2.0,2.67,18.67,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:37,,,Live price unavailable
20260504_220458|TECHM|LONG|1471.6|1459.2|1496.4,2026-05-04 22:05:21,20260504_220458,TECHM,LONG,1471.6,1459.2,1496.4,2.0,2.63,18.63,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:37,1471.6,0.0,LONG trade still open
20260504_220458|HDFCAMC|SHORT|2734.8|2739.2|2726.0,2026-05-04 22:05:21,20260504_220458,HDFCAMC,SHORT,2734.8,2739.2,2726.0,2.0,2.62,18.62,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:37,,,Live price unavailable
20260504_220458|TITAN|SHORT|4363.0|4375.2|4338.6,2026-05-04 22:05:21,20260504_220458,TITAN,SHORT,4363.0,4375.2,4338.6,2.0,2.61,18.61,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,4363.0,0.0,SHORT trade still open
20260504_220458|BANKBARODA|LONG|267.65|267.15|268.65,2026-05-04 22:05:21,20260504_220458,BANKBARODA,LONG,267.65,267.15,268.65,2.0,2.57,18.57,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260504_220458|INDIGO|SHORT|4287.7|4292.2|4278.7,2026-05-04 22:05:21,20260504_220458,INDIGO,SHORT,4287.7,4292.2,4278.7,2.0,2.55,18.55,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260504_220458|SIEMENS|LONG|3886.4|3874.3|3910.6,2026-05-04 22:05:21,20260504_220458,SIEMENS,LONG,3886.4,3874.3,3910.6,2.0,2.53,18.53,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260504_220458|PIIND|SHORT|3059.4|3065.2|3047.8,2026-05-04 22:05:21,20260504_220458,PIIND,SHORT,3059.4,3065.2,3047.8,2.0,2.28,18.28,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260504_220458|TRENT|SHORT|4093.3|4101.4|4077.1,2026-05-04 22:05:21,20260504_220458,TRENT,SHORT,4093.3,4101.4,4077.1,2.0,2.21,18.21,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260504_220458|BHARTIARTL|SHORT|1827.1|1843.3|1794.7,2026-05-04 22:05:21,20260504_220458,BHARTIARTL,SHORT,1827.1,1843.3,1794.7,2.0,2.19,18.19,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,1827.1,0.0,SHORT trade still open
20260504_220458|HEROMOTOCO|SHORT|5066.5|5085.0|5029.5,2026-05-04 22:05:21,20260504_220458,HEROMOTOCO,SHORT,5066.5,5085.0,5029.5,2.0,2.07,18.07,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,5066.5,0.0,SHORT trade still open
20260504_220458|BAJAJ-AUTO|LONG|10132.0|10120.0|10156.0,2026-05-04 22:05:21,20260504_220458,BAJAJ-AUTO,LONG,10132.0,10120.0,10156.0,2.0,2.02,18.02,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,10132.0,0.0,LONG trade still open
20260504_220458|BAJAJHLDNG|LONG|10443.0|10412.0|10505.0,2026-05-04 22:05:21,20260504_220458,BAJAJHLDNG,LONG,10443.0,10412.0,10505.0,2.0,1.89,17.89,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:38,,,Live price unavailable
20260505_033248|RELIANCE|LONG|1447.8|1446.7|1450.0,2026-05-05 03:33:21,20260505_033248,RELIANCE,LONG,1447.8,1446.7,1450.0,2.0,3.29,19.29,YES,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:39,,,Live price unavailable
20260505_033248|ONGC|SHORT|294.0|294.5|293.0,2026-05-05 03:33:21,20260505_033248,ONGC,SHORT,294.0,294.5,293.0,2.0,3.23,19.23,YES,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:39,,,Live price unavailable
20260505_033248|PFC|SHORT|452.25|453.15|450.45,2026-05-05 03:33:21,20260505_033248,PFC,SHORT,452.25,453.15,450.45,2.0,3.17,19.17,YES,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:39,,,Live price unavailable
20260505_033248|ULTRACEMCO|SHORT|11677.0|11705.0|11621.0,2026-05-05 03:33:21,20260505_033248,ULTRACEMCO,SHORT,11677.0,11705.0,11621.0,2.0,2.95,18.95,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:40,,,Live price unavailable
20260505_033248|JSWSTEEL|LONG|1269.6|1268.4|1272.0,2026-05-05 03:33:21,20260505_033248,JSWSTEEL,LONG,1269.6,1268.4,1272.0,2.0,2.93,18.93,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:40,,,Live price unavailable
20260505_033248|INFY|SHORT|1173.1|1174.8|1169.7,2026-05-05 03:33:21,20260505_033248,INFY,SHORT,1173.1,1174.8,1169.7,2.0,2.82,18.82,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:40,,,Live price unavailable
20260505_033248|BRITANNIA|LONG|5750.0|5735.0|5780.0,2026-05-05 03:33:21,20260505_033248,BRITANNIA,LONG,5750.0,5735.0,5780.0,2.0,2.8,18.8,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:41,,,Live price unavailable
20260505_033248|TATASTEEL|SHORT|212.34|212.62|211.78,2026-05-05 03:33:21,20260505_033248,TATASTEEL,SHORT,212.34,212.62,211.78,2.0,2.78,18.78,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:41,,,Live price unavailable
20260505_033248|AXISBANK|SHORT|1269.4|1270.8|1266.6,2026-05-05 03:33:21,20260505_033248,AXISBANK,SHORT,1269.4,1270.8,1266.6,2.0,2.73,18.73,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:41,,,Live price unavailable
20260505_033248|TCS|SHORT|2432.4|2436.7|2423.8,2026-05-05 03:33:21,20260505_033248,TCS,SHORT,2432.4,2436.7,2423.8,2.0,2.71,18.71,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:42,,,Live price unavailable
20260505_033248|M&M|SHORT|3105.7|3111.5|3094.1,2026-05-05 03:33:21,20260505_033248,M&M,SHORT,3105.7,3111.5,3094.1,2.0,2.67,18.67,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:42,,,Live price unavailable
20260505_033248|TECHM|LONG|1461.2|1459.2|1465.2,2026-05-05 03:33:21,20260505_033248,TECHM,LONG,1461.2,1459.2,1465.2,2.0,2.63,18.63,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:42,,,Live price unavailable
20260505_033248|TITAN|SHORT|4368.5|4375.2|4355.1,2026-05-05 03:33:21,20260505_033248,TITAN,SHORT,4368.5,4375.2,4355.1,2.0,2.61,18.61,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:43,,,Live price unavailable
20260505_033248|BHARTIARTL|SHORT|1841.3|1843.3|1837.3,2026-05-05 03:33:21,20260505_033248,BHARTIARTL,SHORT,1841.3,1843.3,1837.3,2.0,2.19,18.19,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:43,,,Live price unavailable
20260505_033248|HEROMOTOCO|SHORT|5076.0|5085.0|5058.0,2026-05-05 03:33:21,20260505_033248,HEROMOTOCO,SHORT,5076.0,5085.0,5058.0,2.0,2.07,18.07,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:44,,,Live price unavailable
20260505_033248|BAJAJ-AUTO|LONG|10144.5|10120.0|10193.5,2026-05-05 03:33:21,20260505_033248,BAJAJ-AUTO,LONG,10144.5,10120.0,10193.5,2.0,2.02,18.02,NO,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}",OPEN,2026-05-05 04:17:44,,,Live price unavailable
