timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,confirmations,reason,alert_sent,market_status
2026-05-04 16:42:47,20260504_164140,TCS.NS,SHORT,2431.3,2436.7,2420.5,2.0,2.71,23.48,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.19 | Strength Score: -0.68 | Compression Score: 8.63 | Trigger: WAITING,"TCS.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.71 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,23.44,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.26 | Strength Score: -0.6 | Compression Score: 8.36 | Trigger: WAITING,"M&M.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.67 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,23.43,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.1 | Strength Score: -0.49 | Compression Score: 8.39 | Trigger: WAITING,"ABB.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.67 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,23.38,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.23 | Strength Score: -0.61 | Compression Score: 8.28 | Trigger: WAITING,"TECHM.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.63 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,23.32,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.08 | Strength Score: -0.93 | Compression Score: 8.71 | Trigger: WAITING,"HDFCAMC.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.62 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,23.31,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.21 | Strength Score: -1.01 | Compression Score: 8.62 | Trigger: WAITING,"TITAN.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.61 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,BANKBARODA.NS,LONG,267.65,267.15,268.65,2.0,2.57,23.26,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.08 | Strength Score: -0.94 | Compression Score: 8.58 | Trigger: WAITING,"BANKBARODA.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.57 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,SIEMENS.NS,LONG,3886.4,3874.3,3910.6,2.0,2.53,23.25,Trend: UP | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.13 | Strength Score: -0.5 | Compression Score: 7.97 | Trigger: WAITING,"SIEMENS.NS passed TITAN setup scan | Side: LONG | Trend: UP | Final Score: 2.53 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,INDIGO.NS,SHORT,4287.7,4292.2,4278.7,2.0,2.55,23.22,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.18 | Strength Score: -1.11 | Compression Score: 8.57 | Trigger: WAITING,"INDIGO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.55 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,PIIND.NS,SHORT,3059.4,3065.2,3047.8,2.0,2.28,22.86,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.29 | Strength Score: -1.31 | Compression Score: 7.86 | Trigger: WAITING,"PIIND.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.28 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,TRENT.NS,SHORT,4093.3,4101.4,4077.1,2.0,2.21,22.74,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.32 | Strength Score: -1.65 | Compression Score: 7.96 | Trigger: WAITING,"TRENT.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.21 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,BHARTIARTL.NS,SHORT,1827.1,1843.3,1794.7,2.0,2.19,22.73,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.14 | Strength Score: -1.32 | Compression Score: 7.75 | Trigger: WAITING,"BHARTIARTL.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.19 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
2026-05-04 16:42:47,20260504_164140,HEROMOTOCO.NS,SHORT,5076.0,5085.0,5058.0,2.0,2.07,22.58,Trend: DOWN | Momentum: OK | Structure: OK | Relative Strength: OK | Breakout: OK | Volume Score: 0.28 | Strength Score: -1.41 | Compression Score: 7.34 | Trigger: WAITING,"HEROMOTOCO.NS passed TITAN setup scan | Side: SHORT | Trend: DOWN | Final Score: 2.07 | RR: 2.0 | Market Status: {'market_ok': True, 'reason': 'Level 1 market filter active'}",False,"{""market_ok"": true, ""reason"": ""Level 1 market filter active""}"
