checked_at,timestamp,scan_id,symbol,side,entry,sl,target,rr,score,rank_score,alert_sent,current_price,outcome,pnl_points,result_reason
2026-05-04 17:29:52,2026-05-04 17:29:50,20260504_172908,BAJFINANCE.NS,LONG,957.6,956.6,959.6,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:53,2026-05-04 17:29:50,20260504_172908,HAL.NS,LONG,4576.5,4564.8,4599.9,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:53,2026-05-04 17:29:50,20260504_172908,RECLTD.NS,SHORT,357.5,357.8,356.9,2.0,3.04,23.04,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:53,2026-05-04 17:29:50,20260504_172908,JINDALSTEL.NS,LONG,1264.4,1261.0,1271.2,2.0,3.0,23.0,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:54,2026-05-04 17:29:50,20260504_172908,SHRIRAMFIN.NS,LONG,958.35,956.0,963.05,2.0,2.98,22.98,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:54,2026-05-04 17:29:50,20260504_172908,ULTRACEMCO.NS,SHORT,11677.0,11705.0,11621.0,2.0,2.95,22.95,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:54,2026-05-04 17:29:50,20260504_172908,CHOLAFIN.NS,LONG,1637.1,1633.8,1643.7,2.0,2.94,22.94,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:55,2026-05-04 17:29:50,20260504_172908,JSWSTEEL.NS,LONG,1269.6,1268.4,1272.0,2.0,2.93,22.93,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:55,2026-05-04 17:29:50,20260504_172908,GODREJCP.NS,SHORT,1079.1,1080.4,1076.5,2.0,2.89,22.89,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:55,2026-05-04 17:29:50,20260504_172908,ACC.NS,SHORT,1419.6,1424.7,1409.4,2.0,2.88,22.88,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:56,2026-05-04 17:29:50,20260504_172908,INFY.NS,SHORT,1168.4,1174.8,1155.6,2.0,2.82,22.82,False,1168.4,OPEN,0.0,SHORT trade still open
2026-05-04 17:29:56,2026-05-04 17:29:50,20260504_172908,BRITANNIA.NS,LONG,5750.0,5735.0,5780.0,2.0,2.8,22.8,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:56,2026-05-04 17:29:50,20260504_172908,TATASTEEL.NS,SHORT,212.24,212.62,211.48,2.0,2.78,22.78,False,212.24,OPEN,0.0,SHORT trade still open
2026-05-04 17:29:57,2026-05-04 17:29:50,20260504_172908,HDFCLIFE.NS,SHORT,589.0,589.7,587.6,2.0,2.77,22.77,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:57,2026-05-04 17:29:50,20260504_172908,TCS.NS,SHORT,2431.3,2436.7,2420.5,2.0,2.71,22.71,False,2431.3,OPEN,0.0,SHORT trade still open
2026-05-04 17:29:57,2026-05-04 17:29:50,20260504_172908,M&M.NS,SHORT,3105.7,3111.5,3094.1,2.0,2.67,22.67,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:58,2026-05-04 17:29:50,20260504_172908,ABB.NS,LONG,7279.5,7264.5,7309.5,2.0,2.67,22.67,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:58,2026-05-04 17:29:50,20260504_172908,TECHM.NS,LONG,1461.2,1459.2,1465.2,2.0,2.63,22.63,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:58,2026-05-04 17:29:50,20260504_172908,HDFCAMC.NS,SHORT,2734.8,2739.2,2726.0,2.0,2.62,22.62,False,,OPEN,0.0,Live price unavailable
2026-05-04 17:29:59,2026-05-04 17:29:50,20260504_172908,TITAN.NS,SHORT,4368.5,4375.2,4355.1,2.0,2.61,22.61,False,,OPEN,0.0,Live price unavailable
